time,data
35.07,1527485
35.16,1527447
35.24,1527518
35.33,1527504
35.42,1527457
35.50,1527441
35.59,1527458
35.67,1527455
35.76,1527477
35.84,1527470
35.93,1527424
36.02,1527428
36.10,1527426
36.19,1527416
36.27,1527434
36.36,1527413
36.44,1527414
36.53,1527495
36.62,1527495
36.70,1527451
36.79,1527461
36.87,1527447
36.96,1527517
37.05,1527480
37.13,1527465
37.22,1527516
37.30,1527480
37.39,1527451
37.47,1527488
37.56,1527447
37.65,1527414
37.73,1527445
37.82,1527462
37.90,1527443
37.99,1527491
38.08,1527466
38.16,1527407
38.25,1527434
38.33,1527429
38.42,1527403
38.50,1527472
38.59,1527482
38.68,1527448
38.76,1527426
38.85,1527482
38.93,1527478
39.02,1527475
39.10,1527489
39.19,1527435
39.28,1527450
39.36,1527430
39.45,1527444
39.53,1527484
39.62,1527456
39.71,1527442
39.79,1527431
39.88,1527443
39.96,1527460
40.05,1527427
40.13,1527455
40.22,1527468
40.31,1527413
40.39,1527474
40.48,1527495
40.56,1527483
40.65,1527449
40.73,1527472
40.82,1527414
40.91,1527434
40.99,1527456
41.08,1527494
41.16,1527423
41.25,1527381
41.34,1527423
41.42,1527427
41.51,1527473
41.59,1527489
41.68,1527427
41.76,1527415
41.85,1527463
41.94,1527526
42.02,1527445
42.11,1527412
42.19,1527447
42.28,1527449
42.36,1527445
42.45,1527471
42.54,1527426
42.62,1527531
42.71,1527505
42.79,1527498
42.88,1527479
42.97,1527460
43.05,1527450
43.14,1527552
43.22,1527494
43.31,1527455
43.40,1527468
43.48,1527467
43.57,1527473
43.65,1527447
43.74,1527504
43.83,1527514
43.91,1527445
44.00,1527421
44.08,1527367
44.17,1527410
44.25,1527437
44.34,1527416
44.43,1527431
44.51,1527447
44.60,1527440
44.68,1527484
44.77,1527511
44.85,1527531
44.94,1527475
45.03,1527450
45.11,1527446
45.20,1527529
45.28,1527508
45.37,1527469
45.46,1527402
45.54,1527400
45.63,1527379
45.71,1527411
45.80,1527466
45.88,1527447
45.97,1527507
46.06,1527478
46.14,1527451
46.23,1527478
46.31,1527536
46.40,1527517
46.48,1527445
46.57,1527398
46.65,1527461
46.74,1527467
46.83,1527470
46.91,1527516
47.00,1527512
47.09,1527425
47.17,1527417
47.26,1527410
47.34,1527483
47.43,1527454
47.51,1527410
47.60,1527415
47.69,1527414
47.77,1527457
47.86,1527461
47.94,1527473
48.03,1527444
48.11,1527438
48.20,1527464
48.29,1527460
48.37,1527504
48.46,1527523
48.54,1527426
48.63,1527405
48.72,1527480
48.80,1527497
48.88,1527470
48.97,1527398
49.06,1527402
49.14,1527439
49.23,1527441
49.31,1527472
49.40,1527490
49.49,1527456
49.57,1527477
49.66,1527529
49.74,1527522
49.83,1527490
49.92,1527498
50.00,1527475
50.09,1527474
50.17,1527473
50.26,1527461
50.35,1527432
50.43,1527470
50.52,1527481
50.60,1527485
50.69,1527508
50.77,1527434
50.86,1527389
50.95,1527401
51.03,1527426
51.12,1527457
51.20,1527507
51.29,1527482
51.37,1527393
51.46,1527409
51.55,1527469
51.63,1527524
51.72,1527519
51.80,1527502
51.89,1527587
51.98,1527521
52.06,1527401
52.15,1527415
52.23,1527445
52.32,1527470
52.40,1527492
52.49,1527491
52.58,1527524
52.66,1527528
52.75,1527509
52.83,1527488
52.92,1527536
53.00,1527552
53.09,1527515
53.18,1527447
53.26,1527464
53.35,1527418
53.43,1527456
53.52,1527457
53.61,1527465
53.69,1527486
53.78,1527468
53.86,1527504
53.95,1527515
54.03,1527499
54.12,1527501
54.21,1527455
54.29,1527490
54.38,1527497
54.46,1527547
54.55,1527578
54.63,1527574
54.72,1527591
54.81,1527564
54.89,1527514
54.98,1527467
55.06,1527487
55.15,1527549
55.24,1527515
55.32,1527522
55.41,1527548
55.49,1527553
55.58,1527504
55.66,1527480
55.75,1527431
55.84,1527423
55.92,1527409
56.01,1527444
56.09,1527432
56.18,1527412
56.26,1527448
56.35,1527472
56.44,1527439
56.52,1527499
56.61,1527539
56.69,1527546
56.78,1527518
56.87,1527529
56.95,1527485
57.04,1527417
57.12,1527519
57.21,1527497
57.29,1527450
57.38,1527518
57.47,1527542
57.55,1527478
57.64,1527509
57.72,1527478
57.81,1527460
57.90,1527472
57.98,1527519
58.07,1527503
58.15,1527450
58.24,1527441
58.32,1527466
58.41,1527523
58.50,1527486
58.58,1527492
58.67,1527506
58.76,1527473
58.84,1527531
58.93,1527513
59.01,1527457
59.10,1527446
59.18,1527544
59.27,1527575
59.36,1527531
59.44,1527505
59.53,1527518
59.61,1527519
59.70,1527522
59.78,1527508
59.87,1527504
59.96,1527490
60.04,1527508
60.13,1527508
60.21,1527463
60.30,1527517
60.38,1527525
60.47,1527535
60.56,1527551
60.64,1527499
60.73,1527442
60.81,1527453
60.90,1527508
60.99,1527514
61.07,1527526
61.16,1527579
61.24,1527547
61.33,1527475
61.41,1527462
61.50,1527575
61.59,1527625
61.67,1527576
61.76,1527557
61.84,1527521
61.93,1527562
62.02,1527513
62.10,1527499
62.19,1527519
62.27,1527497
62.36,1527491
62.44,1527558
62.53,1527519
62.62,1527526
62.70,1527501
62.79,1527510
62.87,1527525
62.96,1527509
63.04,1527488
63.13,1527502
63.22,1527509
63.30,1527575
63.39,1527566
63.47,1527560
63.56,1527557
63.65,1527537
63.73,1527522
63.81,1527514
63.90,1527481
63.99,1527552
64.07,1527570
64.16,1527500
64.25,1527501
64.33,1527567
64.42,1527528
64.50,1527503
64.59,1527450
64.67,1527448
64.76,1527496
64.84,1527523
64.93,1527535
65.02,1527527
65.10,1527519
65.19,1527537
65.27,1527561
65.36,1527525
65.44,1527482
65.53,1527499
65.62,1527562
65.70,1527496
65.79,1527456
65.87,1527475
65.96,1527461
66.05,1527536
66.13,1527500
66.22,1527505
66.30,1527538
66.39,1527479
66.48,1527433
66.56,1527453
66.65,1527491
66.73,1527572
66.82,1527528
66.91,1527492
66.99,1527469
67.08,1527566
67.16,1527603
67.25,1527553
67.33,1527550
67.42,1527536
67.51,1527588
67.59,1527594
67.68,1527542
67.76,1527527
67.85,1527502
67.93,1527492
68.02,1527496
68.11,1527562
68.19,1527562
68.28,1527436
68.36,1527501
68.45,1527622
68.54,1527545
68.62,1527466
68.71,1527576
68.79,1527574
68.88,1527541
68.96,1527584
69.05,1527554
69.14,1527518
69.22,1527542
69.31,1527599
69.39,1527550
69.48,1527576
69.56,1527597
69.65,1527563
69.74,1527432
69.82,1527451
69.91,1527456
69.99,1527498
70.08,1527516
70.17,1527482
70.25,1527538
70.34,1527554
70.42,1527514
70.51,1527509
70.59,1527525
70.68,1527513
70.77,1527561
70.85,1527547
70.94,1527495
71.02,1527519
71.11,1527556
71.19,1527541
71.28,1527529
71.37,1527511
71.45,1527521
71.54,1527477
71.62,1527499
71.71,1527543
71.80,1527538
71.88,1527445
71.97,1527474
72.05,1527522
72.14,1527478
72.22,1527517
72.31,1527525
72.40,1527487
72.48,1527483
72.57,1527454
72.65,1527503
72.74,1527537
72.83,1527536
72.91,1527547
73.00,1527459
73.08,1527446
73.17,1527500
73.25,1527543
73.34,1527479
73.43,1527499
73.51,1527610
73.60,1527533
73.68,1527466
73.77,1527501
73.85,1527556
73.94,1527527
74.03,1527484
74.11,1527536
74.20,1527552
74.29,1527515
74.37,1527532
74.46,1527513
74.54,1527544
74.63,1527608
74.71,1527528
74.80,1527509
74.88,1527492
74.97,1527587
75.06,1527630
75.14,1527508
75.23,1527490
75.31,1527566
75.40,1527550
75.48,1527509
75.57,1527519
75.66,1527568
75.74,1527595
75.83,1527601
75.91,1527554
76.00,1527549
76.09,1527475
76.17,1527468
76.26,1527559
76.34,1527585
76.43,1527527
76.51,1527481
76.60,1527435
76.69,1527463
76.77,1527529
76.86,1527558
76.94,1527619
77.03,1527577
77.11,1527578
77.20,1527567
77.29,1527486
77.37,1527459
77.46,1527462
77.54,1527574
77.63,1527581
77.72,1527562
77.80,1527570
77.89,1527599
77.97,1527550
78.06,1527520
78.14,1527538
78.23,1527454
78.32,1527443
78.40,1527506
78.49,1527560
78.57,1527570
78.66,1527557
78.75,1527543
78.83,1527540
78.92,1527537
79.00,1527664
79.09,1527666
79.18,1527592
79.26,1527529
79.35,1527443
79.43,1527490
79.52,1527524
79.60,1527547
79.69,1527559
79.77,1527562
79.86,1527597
79.95,1527543
80.03,1527541
80.12,1527583
80.20,1527532
80.29,1527578
80.37,1527547
80.46,1527541
80.55,1527507
80.63,1527468
80.72,1527529
80.80,1527621
80.89,1527582
80.98,1527548
81.06,1527514
81.15,1527527
81.23,1527551
81.32,1527507
81.40,1527515
81.49,1527571
81.58,1527554
81.66,1527496
81.75,1527483
81.84,1527523
81.92,1527546
82.01,1527546
82.09,1527574
82.18,1527535
82.26,1527530
82.35,1527538
82.44,1527509
82.52,1527561
82.61,1527611
82.69,1527646
82.78,1527573
82.86,1527556
82.95,1527510
83.04,1527555
83.12,1527618
83.21,1527606
83.29,1527576
83.38,1527600
83.47,1527578
83.55,1527601
83.64,1527582
83.72,1527609
83.81,1527615
83.89,1527604
83.98,1527545
84.07,1527540
84.15,1527550
84.24,1527576
84.32,1527533
84.41,1527511
84.49,1527548
84.58,1527576
84.67,1527545
84.75,1527556
84.84,1527575
84.92,1527558
85.01,1527575
85.10,1527596
85.18,1527578
85.27,1527596
85.35,1527513
85.44,1527504
85.52,1527593
85.61,1527597
85.70,1527617
85.78,1527621
85.87,1527590
85.95,1527587
86.04,1527520
86.12,1527548
86.21,1527568
86.30,1527619
86.38,1527629
86.47,1527565
86.55,1527590
86.64,1527521
86.73,1527542
86.81,1527503
